,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
cat,0.9131656289100648,0.0451863892376422,0.9922702312469482,0.9921923279762268,0.9379141926765442,0.1031807661056518,0.5176197290420532,0.0374863632023334,0.0199498850852251,0.7112364172935486,0.4786401391029358,0.0238510612398386,0.0097044426947832,0.0312311835587024,0.0356393046677112,0.9902095794677734,0.1163307577371597,0.073085717856884,0.0527365505695343,0.2456164062023162,0.0476284511387348,0.0108624417334795,0.912025272846222,0.9927794337272644,0.0646811202168464,0.0498470179736614,0.0245890263468027,0.9733642935752868,0.9922653436660768,0.990698516368866,0.0576484836637973,0.0506394878029823,0.0468418188393116,0.5750430822372437,0.0210272539407014,0.0509911812841892,0.0200321841984987,0.2664828300476074,0.0232636928558349,0.0196693334728479,0.1547539085149765,0.0305751208215951,0.1251356750726699,0.9741374254226683,0.2734831869602203,0.0278237275779247,0.0186580661684274,0.2074419260025024,0.9672923684120178,0.4342484474182129,0.0228431522846221,0.0224009826779365,0.0176421329379081,0.3137417435646057,0.2737854421138763,0.6964914202690125,0.4507262110710144,0.0193779002875089,0.824513852596283,0.0573665462434291,0.0724555626511573,0.9212490320205688,0.0904647931456565,0.1451849639415741
cow,0.0407381653785705,0.9870597124099731,0.342822402715683,0.916138768196106,0.9741929769515992,0.7982747554779053,0.9485753774642944,0.0235495828092098,0.0622726045548915,0.2722043693065643,0.9157947897911072,0.0134208165109157,0.0252048671245574,0.0262036137282848,0.9425961375236512,0.020386891439557,0.901621401309967,0.1069283336400985,0.0514574572443962,0.065902404487133,0.2057768106460571,0.1174489483237266,0.875929594039917,0.5652954578399658,0.0343893319368362,0.9867413640022278,0.0285371039062738,0.9676398038864136,0.9632956981658936,0.0467937588691711,0.3445715010166168,0.024638881906867,0.0163487829267978,0.0234405882656574,0.1312426924705505,0.0185926146805286,0.0851797461509704,0.736671507358551,0.3629984557628631,0.059541318565607,0.9589077830314636,0.919416606426239,0.1797801852226257,0.0807544067502021,0.9113307595252992,0.5948801040649414,0.1525780707597732,0.2307706624269485,0.2268969267606735,0.0308622159063816,0.5903611779212952,0.0166575722396373,0.2175929844379425,0.4986604750156402,0.9146355986595154,0.0317217819392681,0.1716264188289642,0.0397282801568508,0.018252620473504,0.0220913272351026,0.0284435655921697,0.0131527623161673,0.0334618315100669,0.0157698560506105
rabbit,0.0183921623975038,0.0164688173681497,0.9099501967430116,0.9770307540893556,0.98765367269516,0.0354360304772853,0.9497718214988708,0.0551871284842491,0.8565569519996643,0.0150874173268675,0.3628291189670563,0.3705991506576538,0.8964691758155823,0.0333989895880222,0.0077907326631248,0.8537584543228149,0.0365215055644512,0.0691825374960899,0.1069218665361404,0.0222355592995882,0.1215212643146514,0.9050551652908324,0.9306827783584596,0.9833358526229858,0.0506751351058483,0.688660740852356,0.978991687297821,0.9903046488761902,0.9746508002281188,0.9723668694496156,0.0885531827807426,0.0675950795412063,0.4418257474899292,0.0693496465682983,0.3401403129100799,0.0278586335480213,0.0312047805637121,0.0442724265158176,0.1780160069465637,0.0301868952810764,0.0939926728606224,0.0953716784715652,0.0310857854783535,0.0118050966411829,0.9942172765731812,0.0912880077958107,0.02338757365942,0.0280749201774597,0.0160435177385807,0.256121277809143,0.0330621339380741,0.0299567878246307,0.3807652294635772,0.0203494559973478,0.0292573608458042,0.0232570115476846,0.0131850037723779,0.1012795269489288,0.0072170891799032,0.0196640100330114,0.0921570882201194,0.6945257782936096,0.0298335049301385,0.0319573953747749
llama,0.0415068231523036,0.5331122875213623,0.0815701186656951,0.7310692667961121,0.9477766156196594,0.064515084028244,0.7596397995948792,0.0148446289822459,0.9933337569236756,0.0161544121801853,0.5314466953277588,0.0653678849339485,0.0168606359511613,0.976082682609558,0.0315829925239086,0.5780603885650635,0.96214497089386,0.1177381128072738,0.0230394974350929,0.419683039188385,0.0789189860224723,0.0120670683681964,0.8515209555625916,0.866524338722229,0.7632803916931152,0.0968387797474861,0.0445883758366107,0.9649287462234496,0.9804229736328124,0.0339809358119964,0.0237242672592401,0.1939802169799804,0.2028523385524749,0.9469733238220216,0.0165967345237731,0.1029882580041885,0.1138079464435577,0.024225378409028,0.8388117551803589,0.0240890402346849,0.9923932552337646,0.016891174018383,0.0302661508321762,0.9521141052246094,0.0247219130396842,0.7474610805511475,0.0863639190793037,0.0444914698600769,0.1241509094834327,0.9081321954727172,0.8133805990219116,0.0803018882870674,0.9442824721336364,0.0267024356871843,0.9458358883857728,0.1156017705798149,0.3124667406082153,0.0354991406202316,0.5693184733390808,0.9923143982887268,0.0229219049215316,0.0210063774138689,0.2564373314380646,0.1215445175766944
lion,0.9415184259414672,0.1990156471729278,0.9037593007087708,0.9357638359069824,0.0932487025856971,0.0550953783094882,0.9584846496582032,0.0757077559828758,0.9642217755317688,0.0261368472129106,0.3499682247638702,0.1265327632427215,0.0497939996421337,0.0267437025904655,0.3709039390087127,0.971053421497345,0.1447330862283706,0.0945958271622657,0.3375978469848633,0.2730608284473419,0.1944286674261093,0.2146841883659362,0.9170433282852172,0.9563694596290588,0.1601658761501312,0.0454547628760337,0.0605828016996383,0.989085614681244,0.9209956526756288,0.191671073436737,0.0996969118714332,0.2360921949148178,0.2771451473236084,0.987466037273407,0.3520874083042145,0.3295856714248657,0.082088753581047,0.078879103064537,0.0348198562860488,0.0630930513143539,0.0327044054865837,0.057908821851015,0.1252608746290207,0.0686797052621841,0.0333856716752052,0.5987488627433777,0.1047196239233017,0.1485038101673126,0.168286845088005,0.0562426596879959,0.0223668217658996,0.9883991479873656,0.0405705496668815,0.0324980430305004,0.9828170537948608,0.9759582281112672,0.0393066853284835,0.1957531422376632,0.146180510520935,0.9782212376594543,0.2761802673339844,0.0292280446738004,0.8889966607093811,0.0415331535041332
mouse,0.9473693370819092,0.3855112195014953,0.7626248002052307,0.980076014995575,0.9721999764442444,0.7903582453727722,0.9901424646377563,0.068871684372425,0.0842427834868431,0.2548146545886993,0.0181317906826734,0.106752686202526,0.0517493970692157,0.6172661781311035,0.1544719338417053,0.9874901175498962,0.0424188859760761,0.0688917934894561,0.129217728972435,0.9636600613594056,0.8110432624816895,0.1299044042825698,0.9563001990318298,0.9386451840400696,0.0545519441366195,0.2398695349693298,0.9818259477615356,0.0463680326938629,0.9896780252456664,0.941573679447174,0.0287608411163091,0.0592695623636245,0.0177784077823162,0.0347246751189231,0.021327344700694,0.0224962886422872,0.1294544488191604,0.2181479930877685,0.1291654258966446,0.0905147492885589,0.0272230859845876,0.0153243318200111,0.9684162139892578,0.0837969854474067,0.0102888830006122,0.0890068039298057,0.0184247493743896,0.0115730855613946,0.0355270989239215,0.0467383749783039,0.1645371317863464,0.0249276291579008,0.0182302165776491,0.246271327137947,0.0505986623466014,0.0259969197213649,0.0304267667233943,0.9728962182998656,0.013867761939764,0.021046569570899,0.1723692268133163,0.802883505821228,0.9189106225967408,0.0432629734277725
rhinoceros,0.0637576058506965,0.1503642350435257,0.1066008657217025,0.2232992798089981,0.341719388961792,0.1344459652900695,0.9822575449943542,0.0618331097066402,0.977308452129364,0.2051029503345489,0.9892130494117736,0.3318602740764618,0.0284241661429405,0.4456625282764435,0.0291927941143512,0.0266851224005222,0.9637080430984496,0.2664685249328613,0.9248018264770508,0.9763295650482178,0.1068145036697387,0.0294689666479825,0.7798668146133423,0.9741674065589904,0.1504970639944076,0.4017932713031769,0.0820938721299171,0.60480135679245,0.879745364189148,0.6811933517456055,0.0939917266368866,0.3187001645565033,0.958715796470642,0.0428640805184841,0.1401142627000808,0.9034337401390076,0.0583499409258365,0.3213599920272827,0.0399214848875999,0.3753710091114044,0.9917678833007812,0.987578809261322,0.0542525649070739,0.065371848642826,0.0482998192310333,0.8862459659576416,0.0766835510730743,0.0907084196805954,0.1817371547222137,0.1763172447681427,0.0350715443491935,0.9836836457252502,0.1565611660480499,0.075793907046318,0.5800312757492065,0.0391274988651275,0.6677771806716919,0.0401127636432647,0.0198332201689481,0.9904264807701112,0.0468589402735233,0.9891237020492554,0.091444119811058,0.0388486199080944
hippopotamus,0.0571115016937255,0.9730924963951112,0.9400001168251038,0.0772010385990142,0.8169199824333191,0.0931869074702262,0.9748812913894652,0.0434533469378948,0.9561044573783876,0.2404187470674514,0.9831489324569702,0.46026411652565,0.0466383919119834,0.5515810251235962,0.119526095688343,0.0673753693699836,0.985602855682373,0.0367666967213153,0.4777006208896637,0.9891538023948668,0.2296008914709091,0.030716635286808,0.0681943967938423,0.9632255434989928,0.5280696153640747,0.0337841361761093,0.0385996922850608,0.5531928539276123,0.945112645626068,0.2910917401313782,0.1021748632192611,0.0792041644454002,0.8565911054611206,0.1833491623401641,0.0376127250492572,0.97222101688385,0.2424835860729217,0.0426134951412677,0.1258651614189148,0.1771274954080581,0.988828182220459,0.9850489497184752,0.1488890796899795,0.109369933605194,0.9783577919006348,0.9632259011268616,0.0410440005362033,0.1066098362207412,0.0244978684931993,0.6125693321228027,0.8383409380912781,0.7926720976829529,0.0470389798283577,0.0349506698548793,0.9570939540863036,0.0403025820851326,0.0588910058140754,0.0582440681755542,0.1431672275066375,0.9790990352630616,0.0715883821249008,0.9762746691703796,0.0226375441998243,0.0222009699791669
elephant,0.0277127102017402,0.9878662824630736,0.2681164145469665,0.0510935485363006,0.1202361136674881,0.2961417734622955,0.6475139260292053,0.0462777353823185,0.991719365119934,0.0199359096586704,0.0379459373652935,0.8550927639007568,0.3194960355758667,0.0214340798556804,0.1438546180725097,0.0562228597700595,0.8132084608078003,0.3757452964782715,0.0530027337372303,0.9903240203857422,0.02217748016119,0.9582186341285706,0.9667143821716307,0.902741312980652,0.0306752566248178,0.0528273172676563,0.0588076151907444,0.9903064966201782,0.97099369764328,0.0937806814908981,0.1180883646011352,0.0389797873795032,0.1061610355973243,0.1973207741975784,0.0944819822907447,0.9639503359794616,0.0878304913640022,0.4193828403949737,0.0518346652388572,0.1386895626783371,0.9917935729026794,0.987467348575592,0.02838478051126,0.076286494731903,0.0239832662045955,0.9752745032310486,0.1481825411319732,0.0636127218604087,0.0985471680760383,0.0449220798909664,0.0474304631352424,0.5480924248695374,0.7876787185668945,0.0559821538627147,0.9190276861190796,0.8569287061691284,0.0270287133753299,0.9653335809707642,0.041216243058443,0.0471543446183204,0.2927266955375671,0.6941723823547363,0.0549887455999851,0.0292158108204603
horse,0.0331932194530963,0.9809296131134032,0.0813928171992302,0.9366458654403688,0.881355881690979,0.0613903179764747,0.9490442872047424,0.0463167689740657,0.1138833090662956,0.2101868242025375,0.0484636723995208,0.1015946269035339,0.0397923290729522,0.5673296451568604,0.0682669654488563,0.2469550669193267,0.9866549968719482,0.4742765426635742,0.3307511210441589,0.0225951205939054,0.0527933537960052,0.4686459004878998,0.9666816592216492,0.8169152140617371,0.0413680486381053,0.4131317138671875,0.0619160756468772,0.988171637058258,0.9753966331481934,0.9515708684921264,0.0823989957571029,0.0660600438714027,0.0427767261862754,0.8759850263595581,0.037952471524477,0.0514077432453632,0.1069282218813896,0.0385877937078475,0.2915189564228058,0.2288816124200821,0.021666832268238,0.106618694961071,0.0418650619685649,0.2908980250358581,0.0592866726219654,0.9767902493476868,0.0545493699610233,0.2683552503585815,0.0470841750502586,0.0550788752734661,0.6182041168212891,0.0428417697548866,0.0401731431484222,0.49913290143013,0.985245645046234,0.1058778166770935,0.0591411478817462,0.764970064163208,0.0320430509746074,0.0373138859868049,0.849766194820404,0.041517436504364,0.0392470471560955,0.0997648313641548
